STATEFP,ANSICODE,POINTID,FULLNAME,MTFCC,longitude,lattitude
16,NA,110680906449,State Hospital South,K1231,-112.335066,43.185259
16,00390731,1102653699212,Snake River Ranger Sta,C3081,-111.414673,43.459916
16,00395965,1102653699303,South Falls Ctr,C3081,-112.022192,43.481302
16,00399195,1102653700141,Swan Valley Ranger Sta,C3081,-111.329948,43.447972
16,00382976,1102653683820,Hawley Gulch Ranger Sta,C3081,-111.574401,43.654636000000004
16,00398090,1102653708691,Sand Holw,C3081,-116.749211,43.807652
16,00400257,1102653665578,Bannock Pumping Sta,C3081,-112.64443,42.840468
16,00401104,1102653695846,Park View Shopping Ctr,C3081,-112.852493,42.784078
16,00391575,1102653699849,Sublett Forest Service Sta,C3081,-112.9711,42.356026
16,00394977,1102653664597,Arling Sta,C3081,-116.079018,44.647393
16,00377399,1102653667345,Bernard Creek Guard Sta,C3081,-114.737036,44.976303
16,00394383,1102653667675,Big Creek Work Ctr,C3081,-115.325112,45.128798
16,00398997,1102653669002,Boiling Springs Work Ctr,C3081,-115.856232,44.363784
16,00394971,1102653670810,Cabarton Sta,C3081,-116.039297,44.424337
16,00394092,1102653672734,Cascade Ranger Sta,C3081,-116.038742,44.51156
16,00380051,1102653675884,Crawford Forest Work Ctr,C3081,-115.979573,44.528783
16,00381367,1102653678870,Elk Creek Ranger Sta,C3081,-115.406496,44.419624
16,00383179,1102653684359,High Valley Ranger Sta,C3081,-116.153464,44.212113
16,00383991,1102653687605,Johnson Creek Forest Service Sta,C3081,-115.480668,44.923517
16,00384308,1102653688428,Krassel Ranger Sta,C3081,-115.731787,44.971011
16,00394397,1102653688439,Krassel Work Ctr,C3081,-115.729009,44.971844
16,00384378,1102653688641,Lake Fork Forest Service Sta,C3081,-115.949566,44.921286
16,00394091,1102653688774,Landmark Ranger Sta,C3081,-115.542057,44.657679
16,00386222,1102653690796,Lower Deadwood Guard Sta,C3081,-115.644279,44.295732
16,00386815,1102653693195,Middle Fork Guard Sta,C3081,-115.145935,44.738518
16,00388116,1102653695671,Paddy Flat Forest Service Sta,C3081,-115.949011,44.774896
16,00390435,1102653698826,Silver Creek Work Ctr,C3081,-115.778729,44.359896
16,00394478,1102653699772,Stolle Guard Sta,C3081,-115.677617,44.585454
16,00395471,1102653705913,High Vly,C3081,-116.154853,44.224057
16,NA,11015504291310,Cascade Medical Ctr,K2460,-116.048692,44.518322
16,NA,11015504291237,Sun Valley Gun Club Heliport,K2460,-114.34949400000001,42.705461
16,NA,11015504291221,Fairbanks Airfield,K2451,-114.332891,42.587209
16,00393362,1102653661911,White Rock,C3022,-116.1146,46.989906
16,00399647,1102653620848,White Rock,C3022,-112.214972,43.08547
16,00377135,1102653666300,Bear Guard Sta,C3081,-116.637645,45.073768
16,00372138,1102653675140,Corral Creek Guard Sta,C3081,-116.245413,44.650444
16,00394377,1102653675391,Council Ranger Sta,C3081,-116.428475,44.725998
16,00394962,1102653684977,Hoover Sta,C3081,-116.442087,44.752665
16,00383345,1102653685010,Hornet Ranger Sta,C3081,-116.629873,44.840159
16,00394960,1102653686734,Indian Mountain Lookout Sta,C3081,-116.249304,44.598499
16,00394378,1102653693112,Microwave Siphon Sta,C3081,-116.449589,44.639887
16,00394955,1102653693457,Mill Creek Ranger Sta,C3081,-116.298197,44.456554
16,00388873,1102653696747,Price Valley Guard Sta,C3081,-116.434579,45.020996
16,00394854,1102653681575,Garfield Forest Service Sta,C3081,-113.931699,43.61046
16,00399051,1102653682941,Greenhorn Guard Sta,C3081,-114.411162,43.593794
16,00388693,1102653696466,Pole Creek Guard Sta,C3081,-114.743678,43.911017
16,00374538,1102653696812,Priest Sta,C3081,-114.02531,43.276016
16,00400064,1102653697773,Russian John Guard Sta,C3081,-114.58256,43.805739
16,NA,11015504291035,St Luke's Wood River Medical Ctr,K2460,-114.350051,43.648561
16,00376893,1102653665398,Bald Mountain Guard Sta,C3081,-111.236053,43.155196
16,00399809,1102653669817,Brockman Guard Sta,C3081,-111.455226,43.231584
16,00378696,1102653671114,Calamity Guard Sta,C3081,-111.20902945073,43.3291463941619
16,00399820,1102653672563,Caribou Basin Guard Sta,C3081,-111.320222,43.149918
16,00380178,1102653676201,Currant Creek Guard Sta,C3081,-111.260222,43.278529
16,00381563,1102653679736,Fall Creek Ranger Sta,C3081,-111.513563,43.369083
16,00399900,1102653682856,Grays Lake Guard Sta,C3081,-111.377444,43.031029
16,00399055,1102653684158,Herman Ranger Sta,C3081,-111.427169,43.139362
16,00395954,1102653698960,Skyline Shopping Ctr,C3081,-112.06386,43.501302
16,00394422,1102653661842,White Mtn,C3022,-114.418688,44.741586
16,00393350,1102653661868,White Mtn,C3022,-116.531586,48.520207
16,00398349,1102653661858,White Mtn,C3022,-116.590974,45.183492
16,00398348,1102653661834,White Mtn,C3022,-114.479242,44.571585
16,NA,11015504291043,Flying Y Ranch Arprt,K2451,-116.53137,44.793761
16,NA,11015504291023,Seven Devils Arprt,K2451,-116.687484,45.010421
16,NA,11015504291002,Big Bar Heliport,K2460,-116.741805,45.12386
16,NA,11015504290995,Michaels Landing,K2451,-116.320731,45.122697
16,NA,11015504291152,Eckhart International Arprt,K2451,-116.502055,48.990471
16,NA,11015504291157,Allen H Tigert Arprt,K2451,-111.58053,42.647931
16,NA,11015504291165,Lanham Fld,K2451,-116.535805,43.877095
16,NA,11015504291364,Western Spur Arprt,K2451,-116.71123,47.928528
16,NA,11015504291352,Hawk Haven Arprt,K2451,-116.858085,47.754891
16,NA,11015504291346,Coeur D'Alene Resort Heliport,K2460,-116.783521,47.672126
16,NA,11015504291338,Carlin Bay Arprt,K2451,-116.76224,47.550726
16,NA,11015504291329,Pisch's Place Arprt,K2451,-116.770575,47.580448
16,NA,11015504291317,Big Country Heliport,K2460,-116.783888,47.693055
16,NA,11015504291305,Rockford Bay Heliport,K2460,-116.891748,47.507412
16,NA,11015504291295,Scanlon Arprt,K2451,-117.036724,47.684981
16,NA,11015504291284,Sutherland Heliport,K2460,-117.009922,47.779899
16,NA,11015504291276,Smith Ranch Arprt,K2451,-117.022536,47.755721
16,NA,11015504291267,Ranch Aero Arprt,K2451,-116.783837,47.828664
16,NA,11015504291263,Nichols Ranch Arprt,K2451,-117.023644,47.677526
16,NA,11015504291247,Hubof's Heliport,K2460,-116.999921,47.732955
16,NA,11015504291218,Coeur D'Alene - Pappy Boyington Fld,K2451,-116.812418,47.773689
16,NA,11015504291206,Hackney Airpark,K2451,-116.676143,47.956279
16,NA,11015504291246,Fountains Arprt,K2451,-116.995833,46.712651
16,NA,11015504291229,Friendly Persuasion Farm Arprt,K2451,-116.690113,46.776097
16,NA,11015504291274,Lemons Fld,K2451,-116.945543,43.927348
16,NA,11015504291275,Pocatello Regional Arprt,K2451,-112.595916,42.909804
16,NA,11015504291656,Bernard US Forest Service Arprt,K2451,-114.734423,44.979326
16,NA,11015504291651,Cabin Creek US Forest Service Arprt,K2451,-114.927714,45.142955
16,NA,11015504291648,Big Creek Heliport,K2460,-115.317612,45.133243
16,NA,11015504291621,Hidden Lakes Arprt,K2451,-116.178301,44.224322
16,NA,11015504291619,Sulphur Creek Ranch Arprt,K2451,-115.349665,44.536
16,NA,11015504291612,Morgan Ranch Arprt,K2451,-115.303831,44.55489
16,NA,11015504291609,High Valley Swanson Arprt,K2451,-116.144803,44.238562
16,NA,11015504291606,Donald D Coski Memorial Arprt,K2451,-116.091352,44.72849
16,NA,11015504291599,Bear Air Arprt,K2451,-116.065516,44.7846
16,NA,11015504291592,Indian Creek US Forest Service Arprt,K2451,-115.107361,44.761137
16,NA,11015504291573,Landmark US Forest Service Arprt,K2451,-115.533388,44.64211
16,NA,11015504291539,McCall Municipal Arprt,K2451,-116.101749,44.888722
16,NA,11015504291527,St Luke's McCall Heliport,K2460,-116.110402,44.909061
16,NA,11015504291513,Splan Arprt,K2451,-116.049123,44.807386
16,NA,11015504291560,Krassel US Forest Service Arprt,K2451,-115.72975,44.974221
16,NA,11015504291499,Mahoney Creek US Forest Service Arprt,K2451,-114.921388,44.744582
16,NA,11015504291479,Double Dreidel Heliport,K2460,-116.177499,44.230832
16,NA,11015504291466,Soldier Bar US Forest Service Arprt,K2451,-114.799653,45.099345
16,NA,11015504291446,Thomas Creek Arprt,K2451,-115.003972,44.723305
16,NA,11015504291417,Reed Ranch Arprt,K2451,-115.71178,44.891097
16,NA,11015504291399,Stibnite Arprt,K2451,-115.331611,44.899338
16,NA,11015504291381,Johnson Creek Arprt,K2451,-115.485527,44.911721
16,NA,11015504291361,Taylor Ranch Landing Area,K2451,-114.854002,45.103321
16,NA,11015504291339,Flying B Ranch Landing Strp,K2451,-114.731593,44.967401
16,NA,11015504291322,Boulder Creek Airstrip,K2451,-116.072882,44.736373
16,NA,11015504291299,Deadwood Dam Airstrip,K2451,-115.640113,44.297208
16,NA,11015504291223,Black Butte Ranch Arprt,K2451,-114.469049,43.047114
16,00380017,1102653627449,Crag Peak,C3022,-115.594594,46.941299
16,NA,11015504291162,Magic Reservoir Arprt,K2451,-114.395113,43.280097
16,NA,11015504291144,Tracy Ranch Arprt,K2451,-115.078795,43.286829
16,NA,110681195727,Cottonwood Job Corps Ctr,K2543,-116.427643,46.079861
16,NA,11015504291091,Everett II Heliport,K2460,-114.406266,43.772162
16,NA,11015504291079,Gulch Trust Heliport,K2460,-114.378384,43.704628
16,NA,11015504291064,Picabo Arprt,K2451,-114.062092,43.307669
16,NA,11015504291056,Smiley Creek Arprt,K2451,-114.796055,43.912137
16,NA,11015504291045,Flat Top Airstrip,K2451,-113.92042,43.49378
16,NA,11015504291022,Sluder Airstrip,K2451,-114.271268,43.402948
16,NA,11015504291030,Downey/hyde Memorial/ Arprt,K2451,-112.109555,42.424222
16,NA,11015504291021,Skyline Arprt,K2451,-112.169557,42.779986
16,NA,11015504291006,Lava Hot Springs Arprt,K2451,-112.031185,42.607683
16,NA,11015504291036,Rockford Municipal Arprt,K2451,-112.531805,43.189498
16,NA,11015504291016,McCarley Fld,K2451,-112.349583,43.209249
16,NA,11015504291194,Big Southern Butte Arprt,K2451,-113.055444,43.432583
16,NA,11015504291255,Dworshak Heliport,K2460,-116.293196,46.512124
16,NA,11015504291245,Freeman Creek Arprt,K2451,-116.342335,46.569764
16,NA,11015504291231,Cayuse Creek US Forest Service Arprt,K2451,-115.071905,46.666015
16,NA,11015504291193,Cptpa Headquarters Arprt,K2451,-115.79859,46.616562
16,NA,11015504291216,Mud Lake/west Jefferson County/ Arprt,K2451,-112.501361,43.850943
16,NA,11015504291204,Rigby Arprt,K2451,-111.929305,43.642415
16,NA,11015504291241,Whelan's Heliport,K2460,-116.782084,43.597102
16,NA,11015504291215,Nampa Municipal Arprt,K2451,-116.523055,43.581333
16,NA,11015504291202,Mercy Heliport,K2460,-116.566795,43.552104
16,NA,11015504291196,Sky Ranch South Arprt,K2451,-116.655006,43.504232
16,NA,11015504291190,Sky Ranch North Arprt,K2451,-116.666641,43.508876
16,NA,11015504291155,Foster Field - Skydive Idaho,K2451,-116.521633,43.728204
16,NA,11015504291161,Henry's Lake Arprt,K2451,-111.342694,44.634748
16,NA,11015504481130,Graham US Forest Service Arprt,K2451,-115.271315,43.954609
16,NA,11015504291145,Stanford Fld,K2451,-111.684694,43.950165
16,NA,11015504481109,Weatherby US Forest Service Arprt,K2451,-115.331361,43.825137
16,NA,11015504291271,Dorothy Roeber Memorial Heliport,K2460,-115.1308,43.807198
16,NA,11015504291253,South Fork Ranch Arprt,K2451,-115.105974,43.605882
16,NA,11015504291234,Glenns Ferry Municipal Arprt,K2451,-115.330083,42.943666
16,NA,11015504291220,Health Center Heliport,K2460,-115.305347,42.954062
16,NA,11015504291207,Coyote Run Arprt,K2451,-115.671607,43.075215
16,NA,11015504291201,Pine Arprt,K2451,-115.310027,43.466248
16,NA,11015504291181,Red Baron Airpark,K2451,-115.901224,43.309986
16,NA,11015504291171,P and R Fld,K2451,-115.965668,43.223597
16,00382824,1102653683399,Halfway Sta,C3081,-115.541224,44.778236
16,00383173,1102653630937,High Pt,C3022,-111.555236,44.26797
16,NA,11015504291319,Owen Ranches Incorporated Arprt,K2451,-115.732696,42.795161
16,NA,11015504291306,Grasmere Arprt,K2451,-115.879444,42.373304
16,NA,11015504291285,Homedale Municipal Arprt,K2451,-116.921472,43.614637
16,NA,11015504291278,Sunrise Skypark Arprt,K2451,-116.706183,43.417799
16,NA,11015504291262,Z X Ranch Arprt,K2451,-116.761916,43.229739
16,NA,11015504291256,Murphy Hot Springs Arprt,K2451,-115.335444,42.023554
16,NA,11015504291244,Josephine Ranch Arprt,K2451,-116.676057,42.751264
16,00397047,1102653708034,Pleasant Vly,C3081,-116.247058,43.444611
16,00377263,1102653666794,Beaver Creek Forest Service Sta,C3081,-115.608994,43.966841
16,00394461,1102653699326,South Fork Guard Sta,C3081,-115.578453,45.174073
16,00399749,1102653701529,Vista Village Shopping Ctr,C3081,-116.213172,43.595722
16,00398478,1102653686056,Idaho City Ranger Sta,C3081,-115.838998,43.822949
16,00398477,1102653686292,Idaho State Highway Maintenance Sta,C3081,-115.833505,43.824926
16,00394068,1102653686286,Idaho State Highway Maintenance Sta,C3081,-115.312859,43.493784
16,00386242,1102653691006,Lower Ranger Sta,C3081,-115.59844,44.076286
16,00394031,1102653691026,Lowman Work Ctr,C3081,-115.591495,44.074064
16,00392432,1102653701100,Troutdale Guard Sta,C3081,-115.635644,43.713214
16,00392894,1102653701759,Warm Springs Forest Service Sta,C3081,-115.323153,44.136569
16,00376652,1102653664316,Antelope Guard Sta,C3081,-113.67197,43.66268
16,00394843,1102653667005,Bell Mountain Ranger Sta,C3081,-113.270845,44.172408
16,NA,11015504291160,King Mountain Glider Park,K2451,-113.342613,43.762487
16,00401027,1102653694661,Nampa Shopping Ctr,C3081,-116.600965,43.604605
16,00375664,1102653701286,Univ of Idaho Agr Experimental Sta,C3081,-116.690689,43.617659
16,00378044,1102653669270,Bostetter Forest Service Sta,C3081,-114.163355,42.168802
16,00382774,1102653683215,Gunnell Guard Sta,C3081,-113.190827,42.119083
16,00386736,1102653692913,Melcher Mine,C3081,-113.555285,42.302967
16,00387440,1102653694608,Myers Mine,C3081,-113.719178,42.257133
16,00395126,1102653668985,Bohns Rock,C3081,-115.845707,46.884351
16,00378503,1102653670640,Bungalow Ranger Sta,C3081,-115.506255,46.630749
16,00394015,1102653672256,Canyon and Kelly Creek Ranger Sta,C3081,-116.267361,46.495736
16,00378888,1102653672419,Canyon Ranger Sta,C3081,-115.586257,46.836299
16,00395571,1102653672429,Canyon Work Ctr,C3081,-115.584313,46.836021
16,00394535,1102653678120,Dworshak Dam and Visitor Ctr,C3081,-116.296252,46.51518
16,00396046,1102653702809,Apple Vly,C3081,-116.996546,43.839884
16,00396530,1102653705292,Garden Vly,C3081,-115.952063,44.089894
16,00395589,1102653685921,Hunt Sta,C3081,-114.229475,42.620189
16,00373310,1102653687353,Jerome Sta,C3081,-114.54231,42.724116
16,00395782,1102653693717,Minidoka Relocation Ctr,C3081,-114.252531,42.679632
16,00395570,1102653669356,Bovard Sta,C3081,-116.706821,46.672114
16,00400230,1102653675056,Cornell Sta,C3081,-116.450988,46.809065
16,00395580,1102653679457,Estes Sta,C3081,-117.023777,46.776554
16,00395560,1102653688375,Korns Shopping Ctr,C3081,-117.00322,46.737943
16,00394700,1102653695735,Palouse District Ranger Sta,C3081,-116.912942,46.930726
16,00396016,1102653698694,Sherwin Sta,C3081,-116.3471,46.947959
16,00399713,1102653701534,Wagon Town Hl,C3081,-116.42432,46.793788
16,00395565,1102653667412,Besslen Sta,C3081,-114.158088,42.903518
16,00376395,1102653670152,Bruneau Guard Sta,C3081,-115.835084,42.880196
16,00376407,1102653689637,Little Valley Compressor Sta,C3081,-115.960368,42.772395
16,00374476,1102653696447,Poison Creek Stage Sta,C3081,-116.938201,43.5021
16,00376936,1102653665559,Bannock Guard Sta,C3081,-112.411087,42.731858
16,00400211,1102653668626,Blaser Sta,C3081,-112.006349,42.654362
16,00395156,1102653670759,Buttrey-Osco Family Ctr,C3081,-112.44859,42.873247
16,00373835,1102653692190,Marsh Ctr,C3081,-112.24969,42.508249
16,00391630,1102653699948,Summit Guard Sta,C3081,-112.264133,42.351862
16,00399135,1102653706988,Marsh Vly,C3081,-112.155797,42.517695
16,00376945,1102653665647,Barber Flat Forest Service Sta,C3081,-115.536488,43.812951
16,00377990,1102653668978,Bog Forest Service Sta,C3081,-115.715667,44.155452
16,00378002,1102653669008,Boise Basin Experiment Sta,C3081,-115.842609,43.834615
16,00379864,1102653675244,Cottonwood Ranger Sta,C3081,-115.834827,43.64017
16,00380475,1102653677110,Deer Park Guard Sta,C3081,-115.401207,43.915454
16,00397730,1102653681470,Garden Valley Ranger Sta,C3081,-115.919284,44.061561
16,00398475,1102653681484,Garden Valley Work Ctr,C3081,-115.919562,44.061838
16,00383248,1102653684602,Holcomb Guard Sta,C3081,-115.975389,43.75628
16,NA,11015504291053,Idaho Falls Regional Arprt,K2451,-112.070749,43.513722
16,NA,11015504291046,Eirmc Heliport,K2460,-111.991509,43.471374
16,NA,11015504291060,Rainbow Ranch Arprt,K2451,-111.973137,43.40629
16,NA,11015504291037,Qb One Arprt,K2451,-112.242034,43.600732
16,NA,11015504291028,Huskey Arprt,K2451,-111.283724,43.420265
16,00384139,1102653688031,Kelly Creek Work Ctr,C3081,-115.085405,46.721028
16,00394650,1102653694597,Musselshell Work Ctr,C3081,-115.745139,46.357129
16,00401045,1102653695510,Orofino-Grangemont Check Sta,C3081,-116.166251,46.537126
16,00394912,1102653696149,Pierce Work Ctr,C3081,-115.795417,46.496576
16,00390248,1102653698572,Sheep Mountain Work Ctr,C3081,-115.604306,46.748521
16,00398331,1102653701824,Weitas Work Ctr,C3081,-115.438191,46.554081
16,NA,11015504291156,Clearwater Valley Hosp,K2460,-116.259597,46.486481
16,00392002,1102653700555,Third Fork Guard Sta,C3081,-116.301806,44.372944
16,NA,11015504291150,Walter Knox Memorial Hosp,K2460,-116.484488,43.880625
16,00399149,1102653682436,Grandine Ranger Sta,C3081,-112.648588,42.047974
16,00399362,1102653665032,Avery Guard Sta,C3081,-115.805432,47.251867
16,00400400,1102653665054,Avery Ranger Sta,C3081,-115.918489,47.252978
16,00377289,1102653666938,Beaver Sta,C3081,-115.912941,47.557149
16,00377290,1102653666962,Beaver Work Ctr,C3081,-116.212125,47.975473
16,00399019,1102653671120,Calder Work Ctr,C3081,-116.176271,47.266862
16,00394634,1102653673881,Clarkia Work Ctr,C3081,-116.262101,47.018795
16,00400405,1102653679012,Elk Pr,C3081,-115.448203,47.006301
16,00386617,1102653692601,McGee Ranger Sta,C3081,-116.251568,47.844361
16,00389201,1102653697072,Red Ives Ranger Sta,C3081,-115.352644,47.057973
16,00399192,1102653697672,Roundtop Guard Sta,C3081,-115.855155,47.108802
16,00389677,1102653697680,Roundtop Work Ctr,C3081,-115.855711,47.107691
16,00394176,1102653698769,Shoshone Camp Work Ctr,C3081,-115.971003,47.707423
16,00399196,1102653698779,Shoshone Creek Guard Sta,C3081,-115.970169,47.705757
16,00400539,1102653700058,Sunshine Mine Disaster Meml,C3081,-116.047942,47.528258
16,00392317,1102653700957,Trail Creek Work Ctr,C3081,-116.254901,47.839916
16,00396229,1102653703810,Carbon Ctr,C3081,-115.900996,47.558261
16,NA,11015504291333,Ziggy's Arprt,K2451,-114.604157,42.640642
16,NA,11015504291323,Shetler's Heliport,K2460,-114.5454,42.54325
16,NA,11015504291314,St Luke's Magic Valley Heliport,K2460,-114.496209,42.591248
16,NA,11015504291301,Sligars Landing,K2460,-114.356944,42.585833
16,NA,11015504291291,Joslin Field - Magic Valley Regional,K2451,-114.48775,42.481805
16,NA,11015504291230,Craigmont Municipal Arprt,K2451,-116.479361,46.247721
16,NA,11015504291219,Nez Perce Municipal Arprt,K2451,-116.238555,46.238526
16,NA,11015504291248,Lewiston-Nez Perce County Arprt,K2451,-117.015388,46.374499
16,00394766,1102653693339,Midtown Shopping Ctr,C3081,-116.781022,47.682405
16,NA,11015504291166,Burley Municipal Arprt,K2451,-113.770252,42.542042
16,NA,11015504291336,Cuddy Meadows Arprt,K2451,-116.805668,44.704709
16,NA,11015504291313,Coyote Ridge Arprt,K2451,-116.589557,44.413321
16,NA,11015504291293,Jenkins Creek Ranch Arprt,K2451,-116.984446,44.299765
16,NA,11015504291287,Lower Loon Creek Arprt,K2451,-114.808658,44.80867
16,NA,11015504291252,Steele Memorial Heliport,K2460,-113.8914,45.173797
16,NA,11015504291242,Lewis and Clark Airstrip,K2451,-113.864478,45.353206
16,NA,11015504291298,Stocking Meadows Arprt,K2451,-115.8636,46.935448
16,NA,11015504291290,Magee Arprt,K2451,-116.262237,47.836847
16,NA,11015504291281,Shoshone County Arprt,K2451,-116.189063,47.54726
16,NA,11015504291505,Cold Meadows US Forest Service Arprt,K2451,-114.945305,45.293499
16,NA,11015504291470,Dixie US Forest Service Arprt,K2451,-115.516351,45.520171
16,NA,11015504481110,Wilson Bar US Forest Service Arprt,K2451,-115.484308,45.396886
16,NA,11015504291443,Mackay Bar Arprt,K2451,-115.505077,45.37919
16,NA,11015504291425,Mallard Creek Ranch Arprt,K2451,-115.323557,45.612764
16,NA,11015504291411,Fish Lake /usfs/ Arprt,K2451,-115.061898,46.329626
16,NA,11015504291376,Running Creek Ranch Arprt,K2451,-114.834385,45.913514
